Ticker,Entry Z,Window,Strategy Return,Buy Hold Return,Outperformance,Sharpe,Sortino,Profit Factor,Max Drawdown,Trades,Closed Trades,Win Rate,Avg Trade Return,Exposure Time,Return Per Exposure,Score
MSFT,-1.5,20,0.8679863134987806,0.5984671336808551,0.2695191798179255,1.1663421490145767,1.0059085675093822,1.4499565357018098,-0.13169600758382705,25,25,0.84,0.026981503299397004,0.2770663562281723,3.1327741314934983,7.24119848300951
MSFT,-2.0,20,0.7322355107945833,0.5984671336808551,0.13376837711372813,1.1343964020905806,0.8592909329140974,1.5145547085148012,-0.13169600758382727,17,17,0.7647058823529411,0.03494411037604089,0.2048894062863795,3.5738085441621994,7.216371705029787
GOOGL,-1.0,10,0.6372069993804326,0.43129809663523955,0.20590890274519302,0.8271287588300771,0.7541024910249342,1.261239044288516,-0.1921328635412365,49,49,0.7755102040816326,0.011553726803304947,0.34062140391254314,1.8707191975053916,4.814073909211758
MSFT,-1.0,20,0.5855534373317566,0.5984671336808551,-0.012913696349098558,0.8414244366269187,0.7670350384657074,1.282524721828682,-0.16478383955863696,28,28,0.75,0.01823926459683362,0.31431897555296856,1.8629274172888108,4.442831277208692
META,-1.0,20,0.6825906367704522,0.6763885119286615,0.006202124841790724,0.692418494672129,0.615514168018296,1.2486862576794597,-0.32120833775457247,27,27,0.7777777777777778,0.02258812620602418,0.2991850989522701,2.2814994435245852,4.285218077236013
AAPL,-1.5,50,0.4905175274624163,0.6137511258544992,-0.12323359839208292,0.8104532649313494,0.6495048125296731,1.2959095069904576,-0.15824212809579308,11,11,0.8181818181818182,0.038867386223383614,0.27141133896260555,1.8072845789615248,3.9969639732215523
GOOGL,-1.5,10,0.4594480128548515,0.43129809663523955,0.028149916219611937,0.7036814176487881,0.571610145714818,1.2462242948928504,-0.21060025134757598,36,36,0.75,0.012243202391125656,0.2727272727272727,1.6846427138011222,3.8208713496283773
AAPL,-2.0,20,0.4063176867060663,0.7450374031144495,-0.3387197164083833,0.7839881378785963,0.5344962920504164,1.3371190990703299,-0.17548055151585518,15,15,0.8,0.024746755906574106,0.20023282887077998,2.0292261213983194,3.6130584796408893
AAPL,-1.0,50,0.49291972506057613,0.6137511258544992,-0.12083140079392307,0.7627185015899529,0.679331078015808,1.2519634602785834,-0.1730672283876934,15,15,0.8666666666666667,0.028869502249628927,0.3281061519903498,1.5023178385118294,3.6053467548016496
SPY,-2.0,20,0.29757128260751253,0.4591160700990746,-0.1615447874915621,0.7814863833152881,0.5479954136899338,1.312267737457087,-0.09229485876435783,16,16,0.9375,0.017645935574821185,0.21071012805587894,1.412230562209134,3.435881243146434
QQQ,-1.5,10,0.36514382305984117,0.5375103599622217,-0.17236653690238057,0.6863266230038624,0.5651877581159267,1.239643265817281,-0.15028397490436407,38,38,0.7105263157894737,0.009604432155338983,0.27387802071346373,1.333235219491605,3.085969991360451
QQQ,-2.0,10,0.23755988263523964,0.5375103599622217,-0.2999504773269821,0.6396161132181111,0.33510086869900924,1.3468391636209631,-0.11940110145608518,19,19,0.7368421052631579,0.01264561270531297,0.13463751438434982,1.7644404958121647,2.9961813257425876
GOOGL,-2.0,10,0.23128166313677667,0.43129809663523955,-0.20001643349846288,0.5869837122658518,0.3250442190379505,1.2883531449513903,-0.1647447921543177,17,17,0.8235294117647058,0.014109567369028823,0.13463751438434982,1.717809959537256,2.974132230193514
META,-2.0,20,0.38590263473308273,0.6763885119286615,-0.2904858771955787,0.539952951251387,0.4194679395328159,1.2365450648100527,-0.2605651097917733,14,14,0.7142857142857143,0.027313702357679017,0.1990686845168801,1.9385401358813923,2.9055133799365644
SPY,-2.0,10,0.19253979904022156,0.5252290274454612,-0.3326892284052396,0.7172128232550735,0.3974515104298356,1.3597850385097474,-0.059859847010653944,20,20,0.75,0.009006604023308079,0.14384349827387802,1.3385366829276204,2.785121795673907
META,-1.5,20,0.41628731453329015,0.6763885119286615,-0.2601011973953713,0.5311081975892217,0.42873662220894493,1.1962188013907085,-0.32120833775457247,20,20,0.7,0.020936218568137054,0.26542491268917345,1.5683807157197205,2.5169777009094707
QQQ,-1.5,20,0.2874904327686081,0.4671726438786603,-0.17968221111005223,0.5542361810115016,0.44064648495963094,1.1862203607896176,-0.2090884083029707,22,22,0.7727272727272727,0.013498747616449237,0.270081490104773,1.0644581109837687,2.341679217640732
GOOGL,-1.5,20,0.2563234614379757,0.3724898775852583,-0.11616641614728263,0.4512689930039217,0.3810422858856582,1.142842561981805,-0.2375723276582935,20,19,0.7368421052631579,0.012311627404518119,0.2956926658905704,0.8668576904536265,1.9662434428897209
META,-1.0,10,0.41061685812969984,0.8037218787614215,-0.3931050206317217,0.5063922340892472,0.46195645279431846,1.1695147838412168,-0.30301258663443786,40,40,0.675,0.010265449321180477,0.3291139240506329,1.2476435304710112,1.9255405195062472
QQQ,-1.0,10,0.2669995637916187,0.5375103599622217,-0.27051079617060303,0.5191983043493255,0.47487185479349703,1.158051843321678,-0.20926845297927543,46,46,0.6956521739130435,0.006501534028785954,0.3302646720368239,0.808441187926539,1.8609325669286247
MSFT,-1.5,50,0.24973315762180204,0.5064983792235784,-0.2567652216017764,0.47839986870259915,0.36100563560678084,1.1636692504645725,-0.20962559464966546,10,10,0.7,0.02437038471020945,0.26537997587454765,0.9410399439476086,1.8266065917225127
AAPL,-1.5,20,0.25458958499248796,0.7450374031144495,-0.4904478181219616,0.4903473123086139,0.3835967380244992,1.179065034570613,-0.15437797616896387,18,18,0.6666666666666666,0.014509521519881762,0.24912689173457508,1.0219273528436783,1.5457113617151717
MSFT,-1.0,50,0.20957085366119443,0.5064983792235784,-0.296927525562384,0.4041411987757715,0.33335622048738367,1.1272378091342756,-0.20810586818169774,13,13,0.7692307692307693,0.016563114149557807,0.30759951749095293,0.6813107360201184,1.302797887036148
AMZN,-2.0,20,0.12937800912144093,0.20029172224864222,-0.0709137131272013,0.27235622414111166,0.1713538159308292,1.1183899865897968,-0.350143093904032,13,13,0.6153846153846154,0.013172844711977669,0.20139697322467986,0.6424029470249581,1.1460961877270253
GOOGL,-1.0,20,0.16384362280903342,0.3724898775852583,-0.2086462547762249,0.3255257436369506,0.28215632337269697,1.097189226047639,-0.24755165539518875,23,22,0.7272727272727273,0.008176453281501269,0.320139697322468,0.5117878981562171,1.0544488503670864
AAPL,-2.0,10,0.14828767482756655,0.8721093280722827,-0.7238216532447161,0.4114985200215577,0.2578533235496105,1.2365605981489223,-0.10828891533350293,15,15,0.7333333333333333,0.010620860746737137,0.12197928653624857,1.2156791455203333,1.0497374368273544
QQQ,-1.0,20,0.15893904275553372,0.4671726438786603,-0.3082336011231266,0.34754508499563946,0.2898521368638423,1.1067463476367574,-0.24660797499037246,25,25,0.76,0.007736271517455262,0.30151338766006985,0.5271375974015577,0.9256913139292426
MSFT,-2.0,10,0.1304499690153622,0.7107288826605311,-0.5802789136451689,0.3828054202351803,0.22368693425840122,1.1795226925837996,-0.12542202556566084,16,16,0.625,0.009074160184728237,0.14499424626006904,0.8996906593202362,0.8978892543389494
AMD,-1.0,50,0.15801328502033662,0.32173421214756037,-0.16372092712722375,0.3021463257560383,0.2637553604084276,1.0869552402828766,-0.38734295211486935,13,12,0.6666666666666666,0.0172257691299872,0.3606755126658625,0.4381037233506992,0.8631057389726057
GOOGL,-1.0,50,0.10591498373833308,0.24297067758671376,-0.13705569384838068,0.25310245804464687,0.21127041717445438,1.077983066786179,-0.24742924588853488,11,11,0.7272727272727273,0.011930451604795817,0.30759951749095293,0.34432753536893385,0.8097580017439304
